"name","desc","lang","sentences__text","sentences__intent","sentences__entities__entity","sentences__entities__start","sentences__entities__stop","sentences__entities__text","sentences__training"
"","","","when is the next bus from garching","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","take me from hauptbahnhof to odeonsplatz","FindConnection","StationStart","3","3","hauptbahnhof","False"
"","","","","","StationDest","5","5","odeonsplatz",""
"","","","what's the shortest connection between quiddestraße and odeonsplatz?","FindConnection","Criterion","4","4","shortest","True"
"","","","","","StationStart","7","7","quiddestraße",""
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","what is the cheapest connection between quiddestraße and hauptbahnhof?","FindConnection","Criterion","3","3","cheapest","True"
"","","","","","StationStart","6","6","quiddestraße",""
"","","","","","StationDest","8","8","hauptbahnhof",""
"","","","what's the shortest way between hauptbahnhof and odeonsplatz?","FindConnection","Criterion","4","4","shortest","True"
"","","","","","StationStart","7","7","hauptbahnhof",""
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","how can i get from garching to münchner freiheit as fast as possible?","FindConnection","Criterion","10","10","fast","True"
"","","","","","StationStart","5","5","garching",""
"","","","","","StationDest","7","8","münchner freiheit",""
"","","","what's the cheapest way from neuperlach süd to lehel?","FindConnection","Criterion","4","4","cheapest","True"
"","","","","","StationStart","7","8","neuperlach süd",""
"","","","","","StationDest","10","10","lehel",""
"","","","how can i get from neuperlach zentrum to karlsplatz as fast as possible?","FindConnection","Criterion","10","10","fast","True"
"","","","","","StationStart","5","6","neuperlach zentrum",""
"","","","","","StationDest","8","8","karlsplatz",""
"","","","could you give me the fastest connection between brudermühlstraße and alte heide?","FindConnection","Criterion","5","5","fastest","True"
"","","","","","StationStart","8","8","brudermühlstraße",""
"","","","","","StationDest","10","11","alte heide",""
"","","","is there a train from neuperlach zentrum to garching at 3 pm?","FindConnection","TimeStartTime","10","11","3 pm","True"
"","","","","","StationStart","5","6","neuperlach zentrum",""
"","","","","","StationDest","8","8","garching",""
"","","","can you find a connection from olympiazentrum to lehel at 2 pm?","FindConnection","TimeStartTime","10","11","2 pm","True"
"","","","","","StationStart","6","6","olympiazentrum",""
"","","","","","StationDest","8","8","lehel",""
"","","","i need a connection from harras to karl-preis-platz at 8 am.","FindConnection","TimeStartTime","13","14","8 am","True"
"","","","","","StationStart","5","5","harras",""
"","","","","","StationDest","7","11","karl-preis-platz",""
"","","","in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?","FindConnection","TimeEndTime","7","8","1 pm","True"
"","","","","","StationStart","16","17","garching forschungszentrum",""
"","","","","","StationDest","5","5","hauptbahnhof",""
"","","","i need to be in garching at 9","FindConnection","TimeEndTime","7","7","9","True"
"","","","","","StationDest","5","5","garching",""
"","","","can i take a bus from quiddestraße to hauptbahnhof?","FindConnection","Vehicle","4","4","bus","True"
"","","","","","StationStart","6","6","quiddestraße",""
"","","","","","StationDest","8","8","hauptbahnhof",""
"","","","can you find the shortest way from moosfeld to milbertshofen?","FindConnection","Criterion","4","4","shortest","True"
"","","","","","StationStart","7","7","moosfeld",""
"","","","","","StationDest","9","9","milbertshofen",""
"","","","how can i get to neuperlach süd from garching forschungszentrum?","FindConnection","StationStart","8","9","garching forschungszentrum","True"
"","","","","","StationDest","5","6","neuperlach süd",""
"","","","can you find a bus from quiddestraße to lehel?","FindConnection","Vehicle","4","4","bus","True"
"","","","","","StationStart","6","6","quiddestraße",""
"","","","","","StationDest","8","8","lehel",""
"","","","is there a tram from karlsplatz to lehel?","FindConnection","Vehicle","3","3","tram","True"
"","","","","","StationStart","5","5","karlsplatz",""
"","","","","","StationDest","7","7","lehel",""
"","","","is there a bus from garching to moosach at around 5?","FindConnection","Vehicle","3","3","bus","True"
"","","","","","TimeStartTime","10","10","5",""
"","","","","","StationStart","5","5","garching",""
"","","","","","StationDest","7","7","moosach",""
"","","","is there a bus from odeonsplatz to hauptbahnhof at 3 pm?","FindConnection","Vehicle","3","3","bus","True"
"","","","","","TimeStartTime","9","10","3 pm",""
"","","","","","StationStart","5","5","odeonsplatz",""
"","","","","","StationDest","7","7","hauptbahnhof",""
"","","","can you tell me the cheapest way from garching forschungszentrum to quiddestraße?","FindConnection","Criterion","5","5","cheapest","True"
"","","","","","StationStart","8","9","garching forschungszentrum",""
"","","","","","StationDest","11","11","quiddestraße",""
"","","","how can i get to quiddestraße?","FindConnection","StationDest","5","5","quiddestraße","True"
"","","","when does the next bus leaves from hauptbahnhof?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","hauptbahnhof",""
"","","","how can i get from garching to hauptbahnhof?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","hauptbahnhof",""
"","","","how can i get from kurt-eisner-straße to garching?","FindConnection","StationStart","5","9","kurt-eisner-straße","True"
"","","","","","StationDest","11","11","garching",""
"","","","when the next train in garching,forschungszentrum is leaving?","DepartureTime","Vehicle","3","3","train","True"
"","","","","","Criterion","2","2","next",""
"","","","","","StationStart","5","7","garching,forschungszentrum",""
"","","","what is the next connection from garching forschungszentrum to odeonsplatz?","FindConnection","Criterion","3","3","next","True"
"","","","","","StationStart","6","7","garching forschungszentrum",""
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","how can i get from mossach to garching forschungszentrum?","FindConnection","StationStart","5","5","mossach","True"
"","","","","","StationDest","7","8","garching forschungszentrum",""
"","","","how can i get from garching forschungszentrum to odeonsplatz?","FindConnection","StationStart","5","6","garching forschungszentrum","True"
"","","","","","StationDest","8","8","odeonsplatz",""
"","","","how can i get from garching, forschungszentrum to odeonsplatz?","FindConnection","StationStart","5","7","garching, forschungszentrum","True"
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","how can i get from garching forschungszentrum to kurt-eisner-straße?","FindConnection","StationStart","5","6","garching forschungszentrum","True"
"","","","","","StationDest","8","12","kurt-eisner-straße",""
"","","","how can i get to boltzmannstraße from quiddestraße?","FindConnection","StationStart","7","7","quiddestraße","True"
"","","","","","StationDest","5","5","boltzmannstraße",""
"","","","when does the next train departs from quiddestraße?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","quiddestraße",""
"","","","when the next train in garching forschungszentrum is leaving?","DepartureTime","Vehicle","3","3","train","True"
"","","","","","Criterion","2","2","next",""
"","","","","","StationStart","5","6","garching forschungszentrum",""
"","","","when is the next u6 leaving from garching?","DepartureTime","Line","4","4","u6","True"
"","","","","","StationStart","7","7","garching",""
"","","","when does the next train leave from garching forschungszentrum","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","when is the next u6?","DepartureTime","Line","4","4","u6","True"
"","","","","","Criterion","3","3","next",""
"","","","when is the next subway leaving from garching?","DepartureTime","Vehicle","4","4","subway","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when the next train in garching is leaving?","DepartureTime","Vehicle","3","3","train","True"
"","","","","","Criterion","2","2","next",""
"","","","","","StationStart","5","5","garching",""
"","","","when is the next train leaving in garching","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when does the next train leaves from odeonsplatz?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","odeonsplatz",""
"","","","when does the next train leaves from quiddestraße?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","quiddestraße",""
"","","","when is the next train","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","when does the next bus leaves at garching forschungszentrum?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","when does the next train leaves?","DepartureTime","Vehicle","4","4","train","True"
"","","","when does the next bus leave in garching?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when does the next s-bahn leaves from hauptbahnhof?","DepartureTime","Vehicle","4","6","s-bahn","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","9","hauptbahnhof",""
"","","","when does the next subway departes from odeonsplatz?","DepartureTime","Vehicle","4","4","subway","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","odeonsplatz",""
"","","","show me the next bus from garching!","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","when does the next tram starts from hauptbahnhof?","DepartureTime","Vehicle","4","4","tram","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","hauptbahnhof",""
"","","","when will the next u-bahn depart from garching forschungszentrum?","DepartureTime","Vehicle","4","6","u-bahn","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","10","garching forschungszentrum",""
"","","","show me the next bus from michaelibad.","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","michaelibad",""
"","","","when does the next train starts at sendlinger tor?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","sendlinger tor",""
"","","","hey bot, when does the next bus starts at garching?","DepartureTime","Vehicle","7","7","bus","True"
"","","","","","Criterion","6","6","next",""
"","","","","","StationStart","10","10","garching",""
"","","","when does the next bus leaves at garching?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when is the bus from quiddestraße?","DepartureTime","Vehicle","3","3","bus","True"
"","","","","","StationStart","5","5","quiddestraße",""
"","","","when can i get a bus at mariahilfplatz?","DepartureTime","Vehicle","5","5","bus","True"
"","","","","","StationStart","7","7","mariahilfplatz",""
"","","","when does the next bus leaves at romanplatz?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","romanplatz",""
"","","","when does the bus to röblingweg starts?","DepartureTime","Vehicle","3","3","bus","True"
"","","","","","StationStart","5","5","röblingweg",""
"","","","next bus from quiddestraße?","DepartureTime","Vehicle","1","1","bus","True"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","3","quiddestraße",""
"","","","when is the next bus leaving from garching?","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when is the train leaving in garching","DepartureTime","Vehicle","3","3","train","True"
"","","","","","StationStart","6","6","garching",""
"","","","when is the train leaving in garching?","DepartureTime","Vehicle","3","3","train","True"
"","","","","","StationStart","6","6","garching",""
"","","","how can i get from garching to odeonsplatz?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","when is adrians next subway leaving at garching forschungszentrum?","DepartureTime","Vehicle","4","4","subway","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","how can i get from olympiazentrum to hauptbahnhof?","FindConnection","StationStart","5","5","olympiazentrum","True"
"","","","","","StationDest","7","7","hauptbahnhof",""
"","","","how can i get from quiddestraße to boltzmannstraße?","FindConnection","StationStart","5","5","quiddestraße","True"
"","","","","","StationDest","7","7","boltzmannstraße",""
"","","","how can i get from moosach to garching forschungszentrum?","FindConnection","StationStart","5","5","moosach","True"
"","","","","","StationDest","7","8","garching forschungszentrum",""
"","","","can you give me a connection from garching to odeonsplatz?","FindConnection","StationStart","7","7","garching","True"
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","when is the next train from garching","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","when comes the next train","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","when is the next train in nordfriedhof","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","nordfriedhof",""
"","","","when does the next train come at garching forschungszentrum","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","when is the next train from nordfriedhof to garching forschungszentrum","FindConnection","Vehicle","4","4","train","True"
